Event-Links: 19 | Events: 19
  2026-07-04 17:00:00 | Krankenhauskirche im Wuhlgarten, Brebacher Weg 15, 12683, Berlin | ZERBRECHLICHE SCHÖNHEIT - Marita Czepa
  2026-09-04 19:30:00 | Kulturhaus Centre Bagatelle, Zeltinger Straße 6, 13465, Berlin | Vier Hände, zwei Klaviere … und nu?
  2026-09-05 20:00:00 | Little Stage Berlin, Jonasstraße, 12053, Berlin | FOR THEIR EGOS
  2026-09-05 20:30:00 | ausland, Lychener Str. 60, 10437, Berlin | biegungen im ausland
  2026-09-06 17:00:00 | Kulturhaus Centre Bagatelle, Zeltinger Straße 6, 13465, Berlin | Europe Blues Train Festival meets Jazz@Centre Bagatelle
  2026-09-06 17:00:00 | Kulturhaus Centre Bagatelle, Zeltinger Str. 6, 13465, Berlin-Frohnau | Europe Blues Train Festival meets Centre Bagatelle
  2026-09-01 19:30:00 | Art Stalker, Kaiser-Friedrich-Straße 67, 10627, Berlin | Session im ART Stalker
  2026-09-09 20:00:00 | Art Stalker, Kaiser-Friedrich-Straße 67, 10627, Berlin | Jon Kenzie concert - Blues, Folk, Soul
  2026-09-10 20:30:00 | KikiSol, Reinickendorfer Straße 96, 13347, Berlin | Medina Groove
  2026-09-11 20:00:00 | Radialsystem, Holzmarktstr. 33, 10243, Berlin | 20 Jahre Andromeda Mega Express Orchestra
  2026-09-11 20:00:00 | Little Stage Berlin, Jonasstraße, 12053, Berlin | Liberty Styles New York International Trio & Devin Gray Trio
  2026-09-11 20:15:00 | Badenscher Hof Jazzclub, Badensche Str. 29, 10715, Berlin | My Shining Hour
  2026-09-12 18:00:00 | Strandbad Wendenschloss, Möllhausenufer 30, 12557, Berlin | Live Session im Strandbad : Bird Watch Trio
  2026-09-12 20:00:00 | ausland, Lychener Str. 60, 10437, Berlin | LUN ÁRIO / MUNSHA / DUCHAMP / FRICTIVE FREQUENCIES
  2026-09-13 11:00:00 | Kulturhaus Centre Bagatelle e.V, Zeltinger Str. 6, 13465, Berlin-frohnau | PIAF-ESQUE – Eine Hommage an Édith Piaf
  2026-09-14 19:00:00 | St. Nikolai Kirche, Reformationsplatz 1, 13597, Berlin | Montagskonzert bei Kerzenschein - The Toughest Tenors
  2026-09-14 19:00:00 | Bredouille Bar, Georgenstraße 199, 10117, Berlin | radio3 Listening Lounge
  2026-09-18 20:00:00 | Raumerweiterungshalle für Jazz, Kopenhagener Str. 17, 10437, Berlin | Hot and Free. Westdeutsche Jazzkompositionen der 1950er und 1960er Jahre The Clarinet Trio
  2026-09-18 20:00:00 | Little Stage Berlin, Jonasstraße, 12053, Berlin | NAKM
